#,Player          ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
87,Kevin Love,71,22.6,13.4,4.3,10.2,42.3,2.5,6.4,38.4,2.3,2.7,84.2,1.1,6.0,7.1,2.2,0.4,0.2,1.3,15.6
88,Kentavious Caldwell-Pope,75,30.3,13.3,4.7,10.8,43.3,2.1,5.3,39.3,1.8,2.1,89.0,0.5,2.9,3.4,1.9,1.1,0.3,1.2,12.4
89,Derrick White,72,29.4,13.3,4.5,10.8,41.9,1.5,4.9,30.6,2.8,3.2,87.2,0.5,2.9,3.5,5.0,0.9,0.8,1.6,15.1
90,Montrezl Harrell,68,23.2,13.2,5.0,7.9,63.7,0.1,0.3,23.5,3.1,4.3,71.7,2.1,4.1,6.2,2.0,0.4,0.6,1.0,17.3
91,Monte Morris,73,29.9,12.8,5.0,10.3,48.7,1.7,4.2,40.0,1.0,1.2,86.9,0.3,2.7,3.0,4.5,0.8,0.2,1.0,14.6
92,Cameron Johnson,62,26.3,12.7,4.3,9.2,46.6,2.6,6.0,43.6,1.5,1.7,87.0,0.6,3.5,4.1,1.5,0.8,0.2,0.7,13.5
93,Coby White,58,27.3,12.6,4.6,10.6,43.2,2.2,5.8,37.4,1.3,1.5,86.2,0.3,2.7,3.0,2.9,0.4,0.2,1.1,11.8
94,Malik Beasley,76,25.0,12.1,4.2,10.8,39.2,3.0,8.1,37.7,0.6,0.8,81.0,0.3,2.6,2.9,1.5,0.5,0.2,0.6,10.0
95,Devonte' Graham,72,29.0,12.1,4.0,11.0,36.1,2.6,7.6,34.2,1.6,1.8,84.2,0.5,1.9,2.4,4.2,0.9,0.2,1.4,11.1
96,Devin Vassell,68,27.1,12.0,4.5,10.7,42.6,1.9,5.3,35.2,1.1,1.3,82.4,0.6,3.7,4.3,1.9,1.1,0.6,0.8,12.7
96,Lonnie Walker IV,68,23.0,12.0,4.4,10.9,40.6,1.6,5.0,31.3,1.6,2.1,77.5,0.3,2.3,2.5,2.2,0.6,0.3,1.0,9.7
96,Marcus Smart,68,32.6,12.0,4.2,10.1,41.4,1.6,5.0,32.2,2.1,2.6,79.1,0.6,3.3,3.9,5.9,1.7,0.3,2.2,15.0
99,Kevin Huerter,70,29.6,12.0,4.6,10.3,45.2,2.1,5.5,38.8,0.6,0.7,80.0,0.4,2.9,3.4,2.7,0.7,0.4,1.3,12.1
100,Jae'Sean Tate,75,26.3,11.9,4.7,9.4,50.3,0.8,2.6,31.1,1.7,2.4,70.9,1.7,3.7,5.4,2.9,0.9,0.5,1.8,14.5
101,Luke Kennard,67,27.6,11.8,4.0,9.0,44.7,2.7,6.0,44.8,1.0,1.1,90.5,0.3,3.1,3.3,2.1,0.6,0.1,0.8,11.9
102,Alec Burks,78,28.3,11.6,3.5,8.9,39.1,1.9,4.8,40.2,2.7,3.2,82.5,0.6,4.3,4.9,2.9,1.1,0.3,1.0,13.7
103,Patty Mills,77,29.1,11.5,4.1,10.0,40.6,2.8,7.1,39.8,0.6,0.7,82.1,0.2,1.7,2.0,2.3,0.6,0.2,0.9,9.7
104,Danilo Gallinari,63,25.0,11.3,3.7,8.8,42.5,1.6,4.3,37.0,2.2,2.4,90.3,0.5,4.1,4.6,1.6,0.4,0.2,0.5,12.3
105,Davion Mitchell,71,27.0,11.2,4.6,11.1,41.6,1.4,4.3,31.8,0.6,1.0,63.4,0.5,1.8,2.3,3.7,0.8,0.3,1.5,10.0
106,Gary Harris,61,28.4,11.1,3.9,9.1,43.4,1.9,5.0,38.4,1.4,1.6,87.4,0.6,1.4,2.0,1.8,1.0,0.1,1.0,9.7
107,Grayson Allen,65,27.4,11.1,3.9,8.7,44.6,2.4,5.9,40.9,0.9,1.1,85.7,0.5,2.9,3.4,1.5,0.7,0.2,0.7,11.3
108,Hamidou Diallo,58,21.9,11.0,4.5,9.1,49.6,0.4,1.6,24.7,1.6,2.4,65.0,1.2,3.6,4.8,1.3,1.2,0.3,1.0,12.1
109,Immanuel Quickley,75,22.6,10.9,3.5,9.0,39.0,1.7,4.9,34.6,2.2,2.5,88.8,0.4,2.7,3.0,3.3,0.7,0.0,1.2,11.0
110,Cameron Payne,56,22.0,10.9,4.2,10.1,41.1,1.2,3.6,33.7,1.3,1.6,84.3,0.4,2.6,3.0,4.8,0.7,0.3,1.8,11.7
111,Dorian Finney-Smith,77,33.2,10.9,4.0,8.7,46.2,2.1,5.4,38.3,0.7,1.1,67.5,1.5,3.2,4.7,1.9,1.1,0.5,1.0,13.0
112,Duncan Robinson,76,26.0,10.9,3.6,9.2,39.6,2.9,7.9,36.7,0.7,0.8,83.6,0.3,2.3,2.6,1.6,0.5,0.2,0.8,9.2
113,Terance Mann,77,28.9,10.8,4.1,8.5,48.3,0.9,2.6,36.0,1.6,2.1,78.0,1.3,4.0,5.4,2.6,0.7,0.2,1.0,13.8
114,Clint Capela,70,27.6,10.8,4.9,8.1,60.5,0.0,0.0,0.0,1.1,2.3,46.5,3.7,8.1,11.8,1.3,0.7,1.3,0.6,20.9
115,Darius Bazley,69,27.9,10.8,4.0,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,1.0,5.3,6.3,1.4,0.8,1.0,1.3,12.9
116,Nickeil Alexander-Walker,63,23.0,10.8,4.0,10.7,37.0,1.6,5.3,30.7,1.3,1.7,74.1,0.6,2.3,2.9,2.4,0.7,0.4,1.5,8.6
117,De'Anthony Melton,69,22.6,10.8,3.9,9.5,40.5,1.9,5.1,37.5,1.2,1.6,74.1,0.9,3.6,4.5,2.6,1.5,0.5,1.5,12.3
118,Cedi Osman,63,22.1,10.7,3.7,8.7,42.6,1.9,5.5,35.3,1.3,2.0,66.1,0.4,1.8,2.2,2.1,0.8,0.2,1.0,9.2
119,Max Strus,66,23.3,10.6,3.7,8.4,43.7,2.7,6.6,40.6,0.6,0.8,78.8,0.4,2.6,3.0,1.3,0.4,0.2,0.8,9.9
120,Trey Lyles,71,20.5,10.5,3.5,7.5,46.5,0.9,2.8,32.5,2.6,3.3,80.3,1.2,3.8,5.1,1.2,0.4,0.5,1.0,12.0
121,Mo Bamba,68,25.9,10.5,4.1,8.7,47.5,1.4,3.9,37.0,0.8,1.0,80.3,2.1,6.0,8.1,1.2,0.6,1.6,1.1,16.0
122,Tre Mann,60,22.8,10.4,3.9,9.8,39.3,1.6,4.5,36.0,1.1,1.4,79.3,0.4,2.4,2.9,1.5,0.8,0.2,1.2,8.4
123,Brandon Clarke,61,19.6,10.3,4.4,7.0,63.8,0.1,0.4,22.7,1.4,2.1,65.6,2.2,3.3,5.5,1.4,0.6,1.1,0.6,15.1
124,P.J. Washington,61,27.0,10.3,3.8,8.3,46.3,1.8,4.8,36.7,0.9,1.2,71.6,1.3,4.0,5.3,2.2,0.9,0.9,1.2,13.6
125,Jeff Green,73,24.6,10.3,3.7,7.1,51.9,0.7,2.3,31.7,2.2,2.6,83.3,0.6,2.5,3.1,1.3,0.4,0.4,0.9,10.6
126,Justin Holiday,70,28.1,10.2,3.5,9.1,39.1,2.4,6.6,35.7,0.7,0.9,80.6,0.4,2.2,2.6,1.7,0.7,0.5,1.0,9.0
127,Ivica Zubac,72,24.4,10.1,4.0,6.4,62.1,0.0,0.0,0.0,2.2,3.0,72.9,2.8,5.5,8.3,1.6,0.5,1.0,1.5,16.7
128,Pat Connaughton,62,26.3,10.1,3.6,7.7,46.1,2.3,5.8,39.7,0.7,0.8,82.7,0.7,3.5,4.2,1.3,0.9,0.2,0.5,11.9
129,Garrison Mathews,62,26.3,10.0,2.9,7.2,39.9,2.2,6.0,36.1,2.2,2.7,79.9,0.5,2.3,2.8,1.0,0.9,0.4,0.6,9.6
130,Ben McLemore,60,19.7,10.0,3.3,8.4,39.3,2.3,6.5,35.8,1.1,1.3,83.5,0.2,1.4,1.6,0.9,0.5,0.2,0.8,7.0
131,Al Horford,67,29.1,10.0,3.8,8.3,45.7,1.3,3.9,32.6,1.2,1.4,84.2,1.6,6.1,7.7,3.4,0.7,1.3,0.9,17.5
132,Terrence Ross,63,23.0,10.0,3.5,8.8,39.7,1.2,4.2,29.2,1.8,2.1,86.2,0.3,2.2,2.6,1.8,0.4,0.2,1.2,8.2
133,Josh Richardson,61,24.6,10.0,3.5,8.1,43.5,1.5,3.7,40.3,1.4,1.6,88.9,0.7,2.2,2.9,1.8,0.9,0.5,1.0,10.2
134,Bones Hyland,66,18.9,10.0,3.3,8.2,39.9,1.9,5.1,36.6,1.5,1.8,85.0,0.2,2.5,2.8,2.6,0.6,0.3,1.3,9.8
135,Robert Williams III,61,29.6,10.0,4.4,6.0,73.6,0.0,0.0,0.0,1.1,1.5,72.2,3.9,5.7,9.6,2.0,0.9,2.2,1.0,21.7
136,Herbert Jones,74,30.1,9.6,3.6,7.4,47.7,0.7,2.1,34.0,1.7,2.1,84.2,1.2,2.6,3.8,2.2,1.7,0.8,1.3,12.4
137,Jae Crowder,65,28.3,9.5,3.3,8.1,40.3,1.9,5.4,35.1,1.1,1.4,79.8,0.4,4.8,5.3,1.8,1.4,0.4,0.8,12.5
138,Alperen Sengun,69,20.1,9.4,3.4,7.1,47.6,0.4,1.6,26.2,2.3,3.3,70.2,1.9,3.5,5.4,2.4,0.8,1.0,2.1,12.4
139,Jaden McDaniels,67,26.1,9.4,3.7,8.1,45.9,1.1,3.7,31.3,0.8,1.0,80.0,1.1,3.1,4.3,1.1,0.8,0.8,1.1,10.7
140,Talen Horton-Tucker,56,25.1,9.4,3.6,8.6,41.6,0.8,3.0,26.9,1.4,1.8,77.7,0.6,2.6,3.2,2.6,0.9,0.5,1.4,9.7
141,Patrick Beverley,56,25.6,9.3,3.1,7.6,40.7,1.5,4.2,34.7,1.6,2.3,72.4,1.1,3.1,4.2,4.6,1.2,0.9,1.3,13.7
142,JaVale McGee,70,15.7,9.3,3.9,6.2,63.6,0.0,0.1,25.0,1.4,2.0,71.5,2.2,4.5,6.6,0.6,0.3,1.1,1.3,13.8
143,Chris Boucher,76,20.9,9.2,3.3,7.1,46.4,0.8,2.8,28.8,1.8,2.3,77.0,2.3,4.0,6.2,0.3,0.6,0.9,0.5,12.4
144,Georges Niang,74,23.0,9.2,3.2,7.5,43.5,2.0,5.1,39.9,0.7,0.8,88.1,0.3,2.4,2.7,1.4,0.4,0.2,0.8,8.8
145,Caleb Martin,58,22.8,9.2,3.5,6.8,50.9,1.0,2.6,40.5,1.2,1.6,76.7,1.2,2.6,3.8,1.1,1.0,0.5,0.8,11.1
146,Daniel Gafford,68,19.9,9.1,3.9,5.6,68.9,0.0,0.0,0.0,1.4,2.0,70.4,2.2,3.5,5.7,0.9,0.4,1.4,0.9,14.2
147,Jaxson Hayes,65,19.7,9.1,3.4,5.3,63.4,0.2,0.7,35.6,2.1,2.7,77.5,1.6,2.8,4.4,0.6,0.4,0.8,0.8,11.9
148,Isaac Okoro,64,29.8,9.0,3.2,6.6,48.0,0.8,2.4,35.3,1.8,2.4,78.1,1.1,2.0,3.1,1.8,0.8,0.3,0.9,10.2
149,Jonathan Kuminga,66,16.6,9.0,3.3,6.5,50.4,0.7,2.1,30.7,1.8,2.7,68.2,0.8,2.5,3.3,0.8,0.4,0.3,1.1,8.7
150,Amir Coffey,65,23.2,9.0,3.0,6.8,44.9,1.4,3.7,36.9,1.5,1.7,85.8,0.4,2.4,2.8,1.8,0.6,0.2,0.6,9.7
151,Precious Achiuwa,69,23.5,8.9,3.6,8.2,44.0,0.7,2.0,35.8,1.0,1.8,58.7,2.1,4.6,6.7,1.1,0.5,0.6,1.1,11.4
152,Chimezie Metu,56,21.0,8.9,3.4,7.5,44.8,0.9,3.2,29.9,1.2,1.5,77.6,0.6,4.9,5.5,1.0,0.8,0.5,1.0,11.3
153,Kenyon Martin Jr.,76,21.0,8.9,3.6,6.6,53.8,0.8,2.1,37.2,1.0,1.6,63.3,1.0,2.8,3.8,1.3,0.4,0.5,0.8,10.5
154,Gabe Vincent,65,23.6,8.8,3.2,7.6,41.6,1.8,4.8,36.7,0.7,0.8,81.5,0.3,1.5,1.9,3.1,0.9,0.2,1.5,8.8
155,Oshae Brissett,64,23.0,8.8,3.0,7.3,40.9,1.2,3.4,34.7,1.6,2.3,69.8,1.6,3.7,5.3,1.0,0.7,0.5,0.8,10.3
156,Cam Thomas,63,18.2,8.7,3.4,7.8,43.0,0.7,2.7,26.5,1.3,1.6,82.8,0.3,2.2,2.5,1.2,0.5,0.1,0.8,7.6
157,Bryn Forbes,73,17.0,8.7,3.1,7.2,42.8,1.6,3.9,41.2,1.0,1.1,90.0,0.1,1.1,1.3,1.0,0.3,0.1,0.8,6.4
158,Reggie Bullock,65,28.0,8.7,3.0,7.4,40.4,2.1,5.8,36.0,0.6,0.7,83.0,0.5,3.1,3.6,1.2,0.6,0.2,0.6,9.2
159,Bruce Brown,68,24.0,8.6,3.5,6.9,50.3,0.5,1.2,38.1,1.3,1.7,74.8,1.4,3.3,4.7,1.9,1.1,0.6,0.7,12.4
160,Moritz Wagner,60,14.7,8.6,3.0,6.1,49.0,1.0,3.1,31.9,1.7,2.1,80.5,0.7,2.9,3.6,1.3,0.3,0.2,0.9,9.6
161,Tyus Jones,70,21.0,8.6,3.4,7.5,45.2,1.1,2.8,38.1,0.8,0.9,81.8,0.2,2.2,2.5,4.4,0.9,0.0,0.6,11.5
162,Dwight Powell,79,21.7,8.6,3.2,4.9,66.0,0.2,0.5,35.1,2.0,2.5,79.7,2.1,2.8,4.9,1.2,0.5,0.5,0.7,12.7
163,Ayo Dosunmu,73,27.3,8.5,3.5,6.8,51.6,0.9,2.4,36.9,0.6,0.9,67.6,0.3,2.4,2.7,3.3,0.7,0.4,1.3,10.8
164,Robert Covington,67,27.9,8.5,3.0,7.0,41.9,1.8,4.8,37.6,0.8,0.9,85.2,0.8,4.7,5.5,1.3,1.5,1.3,1.1,12.8
165,Mitchell Robinson,72,25.7,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,4.1,4.5,8.6,0.5,0.8,1.8,0.8,17.0
166,Nicolas Batum,56,24.9,8.5,3.1,6.7,46.1,1.9,4.7,39.7,0.4,0.6,66.7,0.5,3.8,4.3,1.6,1.0,0.8,0.7,11.6
167,Naz Reid,74,15.7,8.3,3.0,6.1,49.6,0.7,2.1,34.8,1.5,2.0,76.2,1.4,2.6,3.9,0.9,0.5,0.9,1.0,10.0
168,Chuma Okeke,67,24.7,8.3,3.0,8.0,37.0,1.6,5.1,31.1,0.8,0.9,84.1,0.7,4.2,4.9,1.7,1.4,0.6,0.8,10.7
169,Jaylen Nowell,59,15.7,8.3,3.1,6.6,47.6,1.0,2.5,38.3,1.1,1.4,76.8,0.4,1.7,2.0,2.2,0.4,0.2,0.6,8.7
170,Otto Porter Jr.,61,22.0,8.2,3.1,6.5,46.9,1.3,3.4,36.8,0.8,1.0,81.4,1.3,4.4,5.7,1.5,1.1,0.5,0.6,12.7
171,Isaiah Stewart,68,25.7,8.2,3.5,6.9,51.2,0.1,0.5,24.3,1.0,1.4,70.1,3.1,5.5,8.6,1.1,0.3,1.1,1.2,14.3
172,Deni Avdija,78,23.8,8.2,2.9,6.8,43.2,1.0,3.0,32.6,1.3,1.7,76.5,0.6,4.5,5.1,1.9,0.7,0.5,1.0,11.2
173,Landry Shamet,65,20.7,8.1,2.7,6.7,39.5,1.8,4.7,37.8,1.0,1.2,83.8,0.2,1.6,1.8,1.6,0.4,0.1,0.6,7.2
