#,Player          ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
209,Aaron Holiday,59,16.2,6.3,2.4,5.2,46.8,0.6,1.5,39.6,0.8,1.0,86.2,0.3,1.5,1.9,2.4,0.7,0.2,1.1,7.5
210,Ish Smith,61,17.0,6.1,2.8,6.4,43.0,0.4,1.0,35.5,0.2,0.4,62.5,0.4,1.7,2.1,3.6,0.7,0.4,1.1,7.9
211,Lamar Stevens,60,16.0,6.1,2.5,5.0,49.7,0.3,1.0,29.0,0.9,1.3,70.7,0.8,1.8,2.6,0.7,0.5,0.3,0.6,6.7
212,Kevon Looney,78,21.5,6.1,2.6,4.5,57.1,0.0,0.0,0.0,1.0,1.6,60.0,2.6,4.8,7.4,2.0,0.6,0.7,0.8,13.4
213,Payton Pritchard,68,13.9,6.0,2.2,5.1,42.5,1.4,3.4,41.2,0.3,0.3,100,0.4,1.4,1.9,1.9,0.3,0.1,0.6,6.7
214,Austin Rivers,64,21.9,5.9,2.1,5.2,41.3,1.2,3.5,34.4,0.5,0.6,72.5,0.3,1.4,1.7,1.4,0.8,0.1,0.8,5.8
215,Matisse Thybulle,63,25.5,5.9,2.3,4.6,50.5,0.7,2.2,31.7,0.5,0.7,79.1,0.6,1.7,2.3,1.1,1.8,1.1,0.6,9.2
216,Dwight Howard,57,15.8,5.8,2.1,3.5,60.8,0.1,0.2,63.6,1.4,2.2,64.1,1.9,3.8,5.8,0.5,0.6,0.6,0.8,10.3
217,Nemanja Bjelica,67,15.8,5.8,2.1,4.7,45.4,0.7,2.1,35.3,0.8,1.1,70.3,0.8,3.2,4.0,2.1,0.6,0.4,1.2,8.7
218,Eric Paschall,56,12.9,5.8,2.0,4.1,48.2,0.7,1.9,37.4,1.1,1.5,77.1,0.5,1.3,1.9,0.6,0.2,0.1,0.5,5.6
219,Danny Green,58,21.5,5.7,2.0,5.1,38.9,1.6,4.3,37.1,0.2,0.2,83.3,0.4,2.0,2.4,0.9,0.9,0.6,0.7,6.7
220,Tre Jones,65,15.9,5.5,2.2,4.6,49.3,0.1,0.7,16.3,0.9,1.1,79.7,0.4,1.8,2.2,3.1,0.6,0.1,0.6,8.3
221,James Johnson,62,19.2,5.5,2.3,5.0,46.9,0.4,1.4,27.1,0.5,0.9,52.7,0.8,2.6,3.5,2.1,0.5,0.5,0.8,8.3
222,Keita Bates-Diop,55,16.0,5.4,2.2,4.2,51.1,0.3,0.9,33.3,0.7,1.0,73.2,1.0,2.9,3.9,0.7,0.5,0.3,0.7,7.7
223,Garrett Temple,56,18.9,5.4,1.9,5.0,38.3,1.0,3.1,32.0,0.5,0.7,68.3,0.5,2.0,2.5,1.3,0.8,0.4,0.7,6.3
224,Facundo Campazzo,63,18.6,5.2,1.7,4.6,36.4,0.9,3.0,30.2,1.0,1.2,76.9,0.4,1.5,1.9,3.4,1.0,0.4,1.0,7.6
225,DeAndre' Bembry,56,18.3,5.1,2.2,3.9,56.1,0.3,0.6,41.7,0.4,0.6,60.0,0.8,2.2,2.9,1.2,0.9,0.4,0.6,7.9
226,Trey Murphy III,57,13.5,4.9,1.6,4.2,38.4,1.1,2.8,37.3,0.6,0.7,85.7,0.7,1.6,2.3,0.6,0.4,0.1,0.2,5.4
227,John Konchar,68,17.8,4.8,1.8,3.6,51.2,0.7,1.7,41.5,0.4,0.6,56.8,1.1,3.4,4.5,1.4,0.6,0.3,0.4,9.2
228,Josh Green,64,15.4,4.7,1.9,3.8,50.0,0.4,1.1,35.2,0.5,0.7,69.8,0.8,1.5,2.3,1.2,0.7,0.2,0.7,6.2
229,Delon Wright,73,18.7,4.6,1.6,3.6,46.2,0.6,1.5,39.6,0.7,0.8,86.0,0.7,2.2,2.8,2.4,1.2,0.3,0.6,8.6
230,Svi Mykhailiuk,55,12.9,4.5,1.6,4.1,39.0,0.7,2.3,30.2,0.6,0.7,86.5,0.4,1.3,1.7,0.8,0.5,0.1,0.6,4.4
231,Jevon Carter,62,13.6,4.4,1.5,3.9,40.2,1.0,2.6,39.3,0.2,0.3,83.3,0.2,1.4,1.6,1.4,0.3,0.2,0.5,5.0
232,Frank Ntilikina,56,12.1,4.3,1.6,3.9,39.8,0.7,2.0,34.5,0.4,0.4,96.0,0.2,1.2,1.4,1.2,0.5,0.1,0.6,4.6
233,Troy Brown Jr.,62,15.9,4.1,1.6,3.8,41.5,0.7,2.0,34.7,0.3,0.4,76.0,0.6,2.4,3.0,0.9,0.5,0.1,0.4,5.9
234,Juan Toscano-Anderson,70,13.5,4.1,1.6,3.2,48.5,0.4,1.2,31.0,0.6,1.0,57.1,0.4,2.0,2.4,1.7,0.7,0.2,0.9,6.1
235,Jordan McLaughlin,59,14.2,3.7,1.4,3.2,43.5,0.4,1.4,31.3,0.5,0.6,73.0,0.4,1.1,1.5,2.9,0.9,0.1,0.6,6.5
236,Dalano Banton,63,11.0,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.5,0.6,1.3,2.0,1.6,0.4,0.2,0.8,4.3
237,Trent Forrest,59,12.8,3.2,1.3,2.6,48.4,0.1,0.5,18.5,0.6,0.8,79.2,0.4,1.3,1.7,1.8,0.5,0.1,0.8,5.0
